Scientific_Name,en_uk,fr,es,nl,no,ar,da,de,it,ja,ko,pl,pt,pt_br,ru,sv,th,tr,uk,zh
Megascops seductus,Balsas Screech-Owl,Petit-duc du Balsas,Autillo del Balsas,Balsasschreeuwuil,balsasugle,Balsas Screech-Owl,Balsas Screech-Owl,Balsaskreischeule,Balsas Screech-Owl,バルサスオオコノハズク,Balsas Screech-Owl,syczoń samotny,Balsas screech-owl,Balsas Screech-Owl,Бальсовая совка,Balsasskrikuv,Balsas Screech-Owl,Balsas Puhucuğu,Сплюшка бура,巴尔萨斯角鸮
Megascops trichopsis,Whiskered Screech-Owl,Petit-duc à moustaches,Autillo Bigotudo,Gevlekte Schreeuwuil,morseugle,Whiskered Screech-Owl,Whiskered Screech-Owl,Fleckenkreischeule,Whiskered Screech-Owl,ヒゲコノハズク,Whiskered Screech-Owl,syczoń plamisty,Whiskered screech-owl,Whiskered Screech-Owl,Усатая совка,Mexikansk skrikuv,Whiskered Screech-Owl,Bıyıklı Puhucuk,Сплюшка вусата,长耳须角鸮
Megascops watsonii,Tawny-bellied Screech-Owl,Petit-duc de Watson,Autillo del Amazonas,Donkerbruine Schreeuwuil,amazonugle,Tawny-bellied Screech-Owl,Tawny-bellied Screech-Owl,Watsonkreischeule,Tawny-bellied Screech-Owl,チャバラオオコノハズク,Tawny-bellied Screech-Owl,syczoń amazoński,Corujinha-d'orelhas,Corujinha-Das-Guianas/Relógio/De-Belém/Do-Xingu,Буробрюхая совка,Gulbröstad skrikuv,Tawny-bellied Screech-Owl,Amazon Puhucuğu,Сплюшка амазонійська,茶腹角鸮
Megastictus margaritatus,Pearly Antshrike,Batara perlé,Batará Perlado,Parelmierklauwier,perlemaurvarsler,Pearly Antshrike,Pearly Antshrike,Kurzschwanz-Ameisenwürger,Pearly Antshrike,シンジュアリモズ,Pearly Antshrike,perliczek,Choca-pintada,Choca-Pintada,Жемчужный эсперито,Pärlmyrtörnskata,Pearly Antshrike,İnci Kanatlı Karıncaavcısı,Кущівник перлистий,珠翅蚁鵙
Megaxenops parnaguae,Great Xenops,Mégasittine du Brésil,Picolezna Grande,Reuzenxenops,stormeiskryper,Great Xenops,Great Xenops,Zimtbaumspäher,Great Xenops,ソリハシカマドドリ,Great Xenops,haczykodziób,Bico-virado-da-caatinga,Bico-Virado-Da-Caatinga,Курносый древесник,Uppnäbbad lövletare,Great Xenops,Büyük Zenops,Піколезна велика,大翘嘴雀
Meiglyptes tristis,Zebra Woodpecker,Pic strihup,Pito Barrado,Bruinstuitspecht,nettingspett,Buff-rumped Woodpecker,Buff-rumped Woodpecker,Wellenspecht,Buff-rumped Woodpecker,ヒメカレハゲラ,Buff-rumped Woodpecker,łuskodrwal mały,Zebra woodpecker,Zebra Woodpecker,Рябой дятел,Tigerspett,นกหัวขวานลายตะโพกเหลือง,Yazılı Ağaçkakan,Дятел-коротун смугастокрилий,黄腰斑啄木鸟
Meiglyptes tukki,Buff-necked Woodpecker,Pic tukki,Pito Tukki,Tukkispecht,hjelmspett,Buff-necked Woodpecker,Buff-necked Woodpecker,Tukkispecht,Buff-necked Woodpecker,カレハゲラ,Buff-necked Woodpecker,łuskodrwal sundajski,Buff-necked woodpecker,Buff-Necked Woodpecker,Светлошейный дятел,Hjälmspett,นกหัวขวานลายคอแถบขาว,Tukki Ağaçkakanı,Дятел-коротун бурий,黄颈斑啄木鸟
Melaenornis edolioides,Northern Black-Flycatcher,Gobemouche drongo,Papamoscas Drongo,Senegalese Drongovliegenvanger,svartfluesnapper,Northern Black-Flycatcher,Northern Black-Flycatcher,Senegaldrongoschnäpper,Northern Black-Flycatcher,クロヒタキ,Northern Black-Flycatcher,mucharka czarna,Northern black-flycatcher,Northern Black-Flycatcher,Чёрная мухоловка,Svart flugsnappare,Northern Black-Flycatcher,Kuzeyli Drongo Sinekkapanı,Мухарка чорна,黑鹟
Melaenornis fischeri,White-eyed Slaty-Flycatcher,Gobemouche de Fischer,Papamoscas de Fischer,Bergdrongovliegenvanger,brillefluesnapper,White-eyed Slaty-Flycatcher,White-eyed Slaty-Flycatcher,Bergdrongoschnäpper,White-eyed Slaty-Flycatcher,メジロハイビタキ,White-eyed Slaty-Flycatcher,mucharka białooka,White-eyed slaty-flycatcher,White-Eyed Slaty-Flycatcher,Мухоловка-белоглазка,Vitögd flugsnappare,White-eyed Slaty-Flycatcher,Gözlüklü Drongo Sinekkapanı,Мухарка сіровола,白眼黑鹟
Melaenornis pammelaina,Southern Black-Flycatcher,Gobemouche sud-africain,Papamoscas Sudafricano,Kaapse Drongovliegenvanger,drongofluesnapper,Southern Black-Flycatcher,Southern Black-Flycatcher,Glanzdrongoschnäpper,Southern Black-Flycatcher,ミナミクロヒタキ,Southern Black-Flycatcher,mucharka lśniąca,Southern black-flycatcher,Southern Black-Flycatcher,Траурная мухоловка,Drongoflugsnappare,Southern Black-Flycatcher,Güneyli Drongo Sinekkapanı,Мухарка південна,南非黑鹟
Melaenornis silens,Fiscal Flycatcher,Gobemouche fiscal,Papamoscas Fiscal,Klauwiervliegenvanger,fiskalfluesnapper,Fiscal Flycatcher,Fiscal Flycatcher,Würgerschnäpper,Fiscal Flycatcher,シロハラクロヒタキ,Fiscal Flycatcher,mucharka żałobna,Fiscal Flycatcher,Fiscal Flycatcher,Сорокопутовая мухоловка,Fiskalflugsnappare,Fiscal Flycatcher,Dılgır Sinekkapan,Мухарка строката,白翅斑黑鹟
Melampitta lugubris,Lesser Melampitta,Petite Mélampitte,Melampita Chica,Kleine Paradijspitta,dvergmelampitta,Lesser Melampitta,Lesser Melampitta,Glanzflöter,Lesser Melampitta,クロチメドリ,Lesser Melampitta,czarniak mały,Lesser melampitta,Lesser Melampitta,Малая мелампитта,Mindre svartpitta,Lesser Melampitta,Küçük Melampit,Чорняк малий,小黑脚风鸟
Melanerpes aurifrons,Golden-fronted Woodpecker,Pic à front doré,Carpintero Frentidorado,Goudvoorhoofdspecht,mesquitespett,Golden-fronted Woodpecker,Golden-fronted Woodpecker,Goldstirnspecht,Golden-fronted Woodpecker,キバナシマセゲラ,Golden-fronted Woodpecker,dzięciur złotoczelny,Golden-fronted woodpecker,Golden-Fronted Woodpecker,Златолобый дятел,Gulpannad hackspett/Velásquezspett,Golden-fronted Woodpecker,Altın Alınlı Ağaçkakan,Гіла золотоголова,金额啄木鸟
Melanerpes cactorum,White-fronted Woodpecker,Pic des cactus,Carpintero de Los Cardones,Cactusspecht,hvitpannespett,White-fronted Woodpecker,White-fronted Woodpecker,Kaktusspecht,White-fronted Woodpecker,サボテンゲラ,White-fronted Woodpecker,dzięciur białoczelny,Pica-pau-de-testa-branca,Pica-Pau-De-Testa-Branca,Белолобый дятел,Vitpannad hackspett,White-fronted Woodpecker,Ak Alınlı Ağaçkakan,Гіла кактусова,白额啄木鸟
Melanerpes candidus,White Woodpecker,Pic dominicain,Carpintero Blanco,Witte Specht,hvitspett,White Woodpecker,White Woodpecker,Weißspecht,White Woodpecker,シロキツツキ,White Woodpecker,dzięciur biały,Pica-pau-branco,Pica-Pau-Branco,Белый дятел,Vitspett,White Woodpecker,Ak Ağaçkakan,Гіла біла,白啄木鸟
Melanerpes carolinus,Red-bellied Woodpecker,Pic à ventre roux,Carpintero de Carolina,Roodbuikspecht,lundspett,Red-bellied Woodpecker,Red-bellied Woodpecker,Carolinaspecht,Red-bellied Woodpecker,シマセゲラ,Red-bellied Woodpecker,dzięciur czerwonobrzuchy,Red-bellied woodpecker,Red-Bellied Woodpecker,Каролинский дятел,Karolinaspett,Red-bellied Woodpecker,Kızılca Karınlı Ağaçkakan,Гіла каролінська,红腹啄木鸟
Melanerpes chrysauchen,Golden-naped Woodpecker,Pic masqué,Carpintero Nuquigualdo,Goudnekspecht,gullnakkespett,Golden-naped Woodpecker,Golden-naped Woodpecker,Buntkopfspecht,Golden-naped Woodpecker,キエリミヤビゲラ,Golden-naped Woodpecker,dzięciur żółtokarkowy,Golden-naped woodpecker,Golden-Naped Woodpecker,Масковый дятел,Guldnackad hackspett,Golden-naped Woodpecker,Altın Enseli Ağaçkakan,Гіла маскова,金枕啄木鸟
Melanerpes chrysogenys,Golden-cheeked Woodpecker,Pic élégant,Carpintero Cariamarillo,Goudwangspecht,gullkinnspett,Golden-cheeked Woodpecker,Golden-cheeked Woodpecker,Goldwangenspecht,Golden-cheeked Woodpecker,メガネシマセゲラ,Golden-cheeked Woodpecker,dzięciur złotolicy,Golden-cheeked woodpecker,Golden-Cheeked Woodpecker,Златощёкий дятел,Gulkindad hackspett,Golden-cheeked Woodpecker,Altın Yanaklı Ağaçkakan,Гіла мексиканська,金颊啄木鸟
Melanerpes cruentatus,Yellow-tufted Woodpecker,Pic à chevron d'or,Carpintero Azulado,Geelbrauwspecht,amazonspett,Yellow-tufted Woodpecker,Yellow-tufted Woodpecker,Gelbbrauenspecht,Yellow-tufted Woodpecker,マミジロミヤビゲラ,Yellow-tufted Woodpecker,dzięciur czarnoszyi,Benedito-de-testa-vermelha,Benedito-De-Testa-Vermelha,Златобровый дятел,Gulögd hackspett,Yellow-tufted Woodpecker,Sarı Kaşlı Ağaçkakan,Гіла чорношия,黄须啄木鸟
Melanerpes erythrocephalus,Red-headed Woodpecker,Pic à tête rouge,Carpintero Cabecirrojo,Roodkopspecht,rødhodespett,Red-headed Woodpecker,Red-headed Woodpecker,Rotkopfspecht,Red-headed Woodpecker,ズアカキツツキ,Red-headed Woodpecker,dzięciur krasnogłowy,Red-headed woodpecker,Red-Headed Woodpecker,Красноголовый дятел,Rödhuvad hackspett,Red-headed Woodpecker,Kırmızı Başlı Ağaçkakan,Гіла червоноголова,红头啄木鸟
Melanerpes flavifrons,Yellow-fronted Woodpecker,Pic à front jaune,Carpintero Arcoiris,Goudmaskerspecht,gulstrupespett,Yellow-fronted Woodpecker,Yellow-fronted Woodpecker,Goldmaskenspecht,Yellow-fronted Woodpecker,キノドミヤビゲラ,Yellow-fronted Woodpecker,dzięciur żółtoczelny,Benedito-de-testa-amarela,Benedito-De-Testa-Amarela,Желтогорлый дятел,Svartmaskad hackspett,Yellow-fronted Woodpecker,Sarı Alınlı Ağaçkakan,Гіла жовтогорла,黄额啄木鸟
Melanerpes formicivorus,Acorn Woodpecker,Pic glandivore,Carpintero Bellotero,Eikelspecht,eikespett,Acorn Woodpecker,Acorn Woodpecker,Eichelspecht,Acorn Woodpecker,ドングリキツツキ,Acorn Woodpecker,dzięciur żołędziowy,Acorn woodpecker,Acorn Woodpecker,Желудёвый дятел,Samlarspett,Acorn Woodpecker,Palamut Ağaçkakanı,Гіла чорновола,橡树啄木鸟
Melanerpes hoffmannii,Hoffmann's Woodpecker,Pic de Hoffmann,Carpintero de Hoffmann,Hoffmanns Specht,hagespett,Hoffmann's Woodpecker,Hoffmann's Woodpecker,Hoffmannspecht,Hoffmann's Woodpecker,コスタリカキビタイシマセゲラ,Hoffmann's Woodpecker,dzięciur płomiennogłowy,Hoffmann's woodpecker,Hoffmann's Woodpecker,Никарагуанский дятел,Hoffmannspett,Hoffmann's Woodpecker,Hoffmann Ağaçkakanı,Гіла нікарагуанська,霍氏啄木鸟
Melanerpes hypopolius,Grey-breasted Woodpecker,Pic alezan,Carpintero Pechigrís,Grijskeelspecht,gråbrystspett,Gray-breasted Woodpecker,Gray-breasted Woodpecker,Fahlbrustspecht,Gray-breasted Woodpecker,ハイイロシマセゲラ,Gray-breasted Woodpecker,dzięciur łzawy,Gray-breasted woodpecker,Gray-Breasted Woodpecker,Серогрудый дятел,Gråbröstad hackspett,Gray-breasted Woodpecker,Dumanlı Ağaçkakan,Гіла сірогорла,灰胸啄木鸟
Melanerpes lewis,Lewis's Woodpecker,Pic de Lewis,Carpintero de Lewis,Lewis' Specht,fluesnapperspett,Lewis's Woodpecker,Lewis's Woodpecker,Blutgesichtspecht,Lewis's Woodpecker,ルイスキツツキ,Lewis's Woodpecker,dzięciur różowobrzuchy,Lewis's woodpecker,Lewis's Woodpecker,Краснолицый дятел,Kråkspett,Lewis's Woodpecker,Lewis Ağaçkakanı,Гіла рожевочерева,刘氏啄木鸟
Melanerpes portoricensis,Puerto Rican Woodpecker,Pic de Porto Rico,Carpintero Puertorriqueño,Puerto-Ricospecht,puertoricospett,Puerto Rican Woodpecker,Puerto Rican Woodpecker,Puerto-Rico-Specht,Puerto Rican Woodpecker,プエルトリコキツツキ,Puerto Rican Woodpecker,dzięciur czerwonogardły,Puerto rican woodpecker,Puerto Rican Woodpecker,Пуэрториканский дятел,Puertoricospett,Puerto Rican Woodpecker,Porto Riko Ağaçkakanı,Гіла червоногорла,波多黎各啄木鸟
Melanerpes pucherani,Black-cheeked Woodpecker,Pic de Pucheran,Carpintero Centroamericano,Zwartwangspecht,svartørespett,Black-cheeked Woodpecker,Black-cheeked Woodpecker,Schläfenfleckspecht,Black-cheeked Woodpecker,ホオグロミヤビゲラ,Black-cheeked Woodpecker,dzięciur pstry,Black-cheeked woodpecker,Black-Cheeked Woodpecker,Чернощёкий дятел,Svartkindad hackspett,Black-cheeked Woodpecker,Kara Yanaklı Ağaçkakan,Гіла чорнощока,黑颊啄木鸟
Melanerpes pygmaeus,Yucatan Woodpecker,Pic du Yucatan,Carpintero Yucateco,Yucatánspecht,yucatánspett,Yucatan Woodpecker,Yucatan Woodpecker,Yucatánspecht,Yucatan Woodpecker,ユカタンシマセゲラ,Yucatan Woodpecker,dzięciur jukatański,Yucatan woodpecker,Yucatan Woodpecker,Юкатанский дятел,Yucatánspett,Yucatan Woodpecker,Yukatan Ağaçkakanı,Гіла юкатанська,尤卡坦啄木鸟
Melanerpes radiolatus,Jamaican Woodpecker,Pic de Jamaïque,Carpintero Jamaicano,Jamaicaspecht,jamaicaspett,Jamaican Woodpecker,Jamaican Woodpecker,Jamaikaspecht,Jamaican Woodpecker,ジャマイカシマセゲラ,Jamaican Woodpecker,dzięciur białolicy,Jamaican woodpecker,Jamaican Woodpecker,Ямайский дятел,Jamaicaspett,Jamaican Woodpecker,Jamaika Ağaçkakanı,Гіла ямайська,牙买加啄木鸟
Melanerpes rubricapillus,Red-crowned Woodpecker,Pic à couronne rouge,Carpintero Coronirrojo,Roodkruinspecht,rødkronespett,Red-crowned Woodpecker,Red-crowned Woodpecker,Rotkappenspecht,Red-crowned Woodpecker,シロビタイシマセゲラ,Red-crowned Woodpecker,dzięciur czerwonołbisty,Red-crowned woodpecker,Red-Crowned Woodpecker,Красношапочный дятел,Rödkronad hackspett,Red-crowned Woodpecker,Al Başlıklı Ağaçkakan,Гіла мала,红冠啄木鸟
Melanerpes striatus,Hispaniolan Woodpecker,Pic d'Hispaniola,Carpintero de la Española,Hispaniolaspecht,hispaniolaspett,Hispaniolan Woodpecker,Hispaniolan Woodpecker,Haitispecht,Hispaniolan Woodpecker,ヒスパニオラシマセゲラ,Hispaniolan Woodpecker,dzięciur płowy,Hispaniolan woodpecker,Hispaniolan Woodpecker,Гаитянский дятел,Hispaniolaspett,Hispaniolan Woodpecker,Hispanyola Ağaçkakanı,Гіла гаїтійська,拉美啄木鸟
Melanerpes superciliaris,West Indian Woodpecker,Pic à sourcils noirs,Carpintero Antillano,Bahamaspecht,palmespett,West Indian Woodpecker,West Indian Woodpecker,Bahamaspecht,West Indian Woodpecker,マユグロシマセゲラ,West Indian Woodpecker,dzięciur antylski,West indian woodpecker,West Indian Woodpecker,Багамский дятел,Karibspett,West Indian Woodpecker,Kara Kaşlı Ağaçkakan,Гіла багамська,大红腹啄木鸟
Melanerpes uropygialis,Gila Woodpecker,Pic des saguaros,Carpintero de Gila,Gilaspecht,kaktusspett,Gila Woodpecker,Gila Woodpecker,Gilaspecht,Gila Woodpecker,サバクシマセゲラ,Gila Woodpecker,dzięciur kaktusowy,Gila woodpecker,Gila Woodpecker,Кактусовый дятел,Kaktusspett,Gila Woodpecker,Gila Ağaçkakanı,Гіла каліфорнійська,吉拉啄木鸟
Melaniparus afer,Grey Tit,Mésange petit-deuil,Carbonero Gris,Kaapse Mees,karoomeis,Gray Tit,Gray Tit,Kaprußmeise,Gray Tit,ハイイロガラ,Gray Tit,sikora akacjowa,Gray tit,Gray Tit,Акациевая синица,Kapmes,Gray Tit,Kap Baştankarası,Синиця акацієва,灰山雀
Melaniparus albiventris,White-bellied Tit,Mésange à ventre blanc,Carbonero Ventriblanco,Witbuikmees,hvitbukmeis,White-bellied Tit,White-bellied Tit,Weißbauch-Rußmeise,White-bellied Tit,シロハラクロガラ,White-bellied Tit,sikora białobrzucha,White-bellied tit,White-Bellied Tit,Белобрюхая синица,Vitbukig mes,White-bellied Tit,Ak Karınlı Kömürcü Baştankara,Синиця білочерева,白胸山雀
Melaniparus cinerascens,Ashy Tit,Mésange cendrée,Carbonero Cinéreo,Acaciamees,askemeis,Ashy Tit,Ashy Tit,Akazienrußmeise,Ashy Tit,ススイロガラ,Ashy Tit,sikora szara,Ashy tit,Ashy Tit,Пепельная синица,Akaciames,Ashy Tit,Kül Rengi Baştankara,Синиця сіра,阿卡山雀
Melaniparus funereus,Dusky Tit,Mésange enfumée,Carbonero Cenizo,Gabonmees,skifermeis,Dusky Tit,Dusky Tit,Einfarb-Rußmeise,Dusky Tit,クロガラ,Dusky Tit,sikora ciemna,Dusky tit,Dusky Tit,Тёмная синица,Skiffermes,Dusky Tit,Kara Kömürcü Baştankara,Синиця одноколірна,暗色山雀
Melaniparus leucomelas,White-winged Black-Tit,Mésange à épaulettes,Carbonero Aliblanco,Rüppells Mees,hvitvingemeis,White-winged Black-Tit,White-winged Black-Tit,Weißflügel-Rußmeise,White-winged Black-Tit,ハジロクロガラ,White-winged Black-Tit,sikora białoskrzydła,White-winged black-tit,White-Winged Black-Tit,Белокрылая синица,Vitvingad mes,White-winged Black-Tit,Ak Kanatlı Kömürcü Baştankara,Синиця африканська,白翅黑山雀
Melaniparus niger,Southern Black-Tit,Mésange nègre,Carbonero Negro,Roetmees,sotmeis,Southern Black-Tit,Southern Black-Tit,Sambesi-Rußmeise,Southern Black-Tit,ミナミクロガラ,Southern Black-Tit,sikora czarna,Southern black-tit,Southern Black-Tit,Чёрная синица,Sotmes,Southern Black-Tit,Güneyli Kömürcü Baştankara,Синиця південна,南黑山雀
Melaniparus rufiventris,Rufous-bellied Tit,Mésange à ventre cannelle,Carbonero Ventrirrufo,Roestbuikmees,svarthodemeis,Rufous-bellied Tit,Rufous-bellied Tit,Rostbauch-Rußmeise,Rufous-bellied Tit,チャムネガラ,Rufous-bellied Tit,sikora rdzawobrzucha,Rufous-bellied tit,Rufous-Bellied Tit,Рыжебрюхая синица,Rostbukig/Gräddbukig mes,Rufous-bellied Tit,Kızıl Karınlı Kömürcü Baştankara,Синиця рудочерева,棕胸山雀
Melaniparus thruppi,Somali Tit,Mésange somalienne,Carbonero Somalí,Somalische Mees,somalimeis,Somali Tit,Somali Tit,Somalirußmeise,Somali Tit,ソマリハイイロガラ,Somali Tit,sikora sawannowa,Somali tit,Somali Tit,Сомалийская синица,Somaliames,Somali Tit,Somali Baştankarası,Синиця саванова,索马里山雀
Melanitta americana,Black Scoter,Macreuse à bec jaune,Negrón Americano,Amerikaanse Zee-eend,amerikasvartand,Black Scoter,Amerikansk Sortand,Pazifiktrauerente,Black Scoter,クロガモ,검둥오리,markaczka amerykańska,Negrola-americana,Negrola-Americana,Американская синьга,Amerikansk sjöorre,Black Scoter,Amerika Kara Ördeği,Синьга американська,黑海番鸭
Melanitta fusca,Velvet Scoter,Macreuse brune,Negrón Especulado,Grote Zee-eend,sjøorre,بط اسقطور مخملي,Fløjlsand,Samtente,Orco marino,ヨーロッパビロードキンクロ,노랑부리검둥오리사촌,uhla,Negrola-d'asa-branca,Negrola-D'Asa-Branca,Турпан,Svärta,Velvet Scoter,Kadife Ördek,Турпан білокрилий,丝绒海番鸭
Melanitta nigra,Common Scoter,Macreuse noire,Negrón Común,Zwarte Zee-eend,svartand,Common Scoter,Sortand,Trauerente,Orchetto marino,ヨーロッパクロガモ,Common Scoter,markaczka,Negrola-comum,Negrola-Comum,Синьга,Sjöorre,Common Scoter,Kara Ördek,Синьга євразійська,普通海番鸭
Melanitta perspicillata,Surf Scoter,Macreuse à front blanc,Negrón Careto,Brilzee-eend,brilleand,Surf Scoter,Brilleand,Brillenente,Surf Scoter,アラナミキンクロ,흰이마검둥오리,uhla pstrodzioba,Negrola-de-lunetas,Negrola-De-Lunetas,Пестроносый турпан,Vitnackad svärta,Surf Scoter,Yamalı Ördek,Турпан білолобий,斑头海番鸭
Melanochlora sultanea,Sultan Tit,Mésange sultane,Carbonero Sultán,Sultanmees,sultanmeis,Sultan Tit,Sultan Tit,Sultansmeise,Sultan Tit,サルタンガラ,Sultan Tit,sikora sułtańska,Sultan tit,Sultan Tit,Султановая синица,Sultanmes,นกติ๊ดสุลต่าน,Sultan Baştankarası,Синиця золоточуба,冕雀
Melanocorypha calandra,Calandra Lark,Alouette calandre,Calandria Común,Kalanderleeuwerik,kalanderlerke,قبرة شرقية كبيرة,Kalanderlærke,Kalanderlerche,Calandra,クロエリコウテンシ,Calandra Lark,kalandra szara,Calhandra-real,Calhandra-Real,Степной жаворонок,Kalanderlärka,Calandra Lark,Boğmaklı Toygar,Жайворонок степовий,草原百灵
Melanocorypha maxima,Tibetan Lark,Alouette du Tibet,Calandria Tibetana,Moerasleeuwerik,tibetlerke,Tibetan Lark,Tibetanlærke,Sumpflerche,Tibetan Lark,オオコウテンシ,Tibetan Lark,kalandra długodzioba,Tibetan lark,Tibetan Lark,Тибетский жаворонок,Tibetlärka,Tibetan Lark,Tibet Toygarı,Жайворонок довгодзьобий,长嘴百灵
Melanodera melanodera,White-bridled Finch,Mélanodère à sourcils blancs,Yal Cejiblanco,Magelhaengors,gulvingespurv,White-bridled Finch,White-bridled Finch,Weißbart-Ammertangare,White-bridled Finch,ノドグロシトド,White-bridled Finch,magelańczyk żółtoskrzydły,White-bridled finch,White-Bridled Finch,Черногорлый овсяночник,Vitkantad tangara,White-bridled Finch,Ak Kaşlı And İspinozu,Магеланник жовтокрилий,黑喉雀鹀
Melanodera xanthogramma,Yellow-bridled Finch,Mélanodère à sourcils jaunes,Yal Cejiamarillo,Geelteugelgors,gulrandspurv,Yellow-bridled Finch,Yellow-bridled Finch,Gelbbart-Ammertangare,Yellow-bridled Finch,ミドリノドグロシトド,Yellow-bridled Finch,magelańczyk żółtowąsy,Yellow-bridled finch,Yellow-Bridled Finch,Уздечковый овсяночник,Gulkantad tangara,Yellow-bridled Finch,Sarı Kaşlı And İspinozu,Магеланник жовтовусий,黄纹雀鹀
Melanodryas cucullata,Hooded Robin,Miro à capuchon,Petroica Encapuchada,Zwartkopvliegenvanger,kutteflueskvett,Hooded Robin,Hooded Robin,Schwarzkopfschnäpper,Hooded Robin,クロズキンヒタキ,Hooded Robin,eukaliptusek srokaty,Hooded robin,Hooded Robin,Пегая дриада,Svarthuvad sydhake,Hooded Robin,Kara Başlı Bülbül,Королець чорноголовий,冠鸲鹟
Melanodryas vittata,Dusky Robin,Miro de Tasmanie,Petroica de Tasmania,Tasmaanse Vliegenvanger,brunflueskvett,Dusky Robin,Dusky Robin,Tasmanschnäpper,Dusky Robin,タスマニアヒタキ,Dusky Robin,eukaliptusek brunatny,Dusky robin,Dusky Robin,Тасманийская дриада,Brun sydhake,Dusky Robin,Tasmanya Bülbülü,Королець брунатний,暗色鸲鹟
Melanopareia elegans,Elegant Crescentchest,Cordon-noir élégant,Pecholuna Elegante,Bonte Maansluiper,praktmånesmett,Elegant Crescentchest,Elegant Crescentchest,Rotflügel-Bandvogel,Elegant Crescentchest,ヒメキマユオタテドリ,Elegant Crescentchest,obrożnik ozdobny,Elegant crescentchest,Elegant Crescentchest,Украшенная серпогрудка,Praktmånbröst,Elegant Crescentchest,Zarif Hilalgerdan,Оброзник рудокрилий,丽月胸窜鸟
Melanopareia maranonica,Marañon Crescentchest,Cordon-noir du Maranon,Pecholuna del Marañón,Marañónmaansluiper,marañonmånesmett,Marañon Crescentchest,Marañon Crescentchest,Weißflügel-Bandvogel,Marañon Crescentchest,キマユオタテドリ,Marañon Crescentchest,obrożnik peruwiański,Marañon crescentchest,Marañon Crescentchest,Мараньонская серпогрудка,Marañónmånbröst,Marañon Crescentchest,Maranyon Hilalgerdanı,Оброзник маранонський,秘鲁月胸窜鸟
Melanopareia maximiliani,Olive-crowned Crescentchest,Cordon-noir à dos olive,Pecholuna del Chaco,Olijfkruinmaansluiper,olivenmånesmett,Olive-crowned Crescentchest,Olive-crowned Crescentchest,Olivscheitel-Bandvogel,Olive-crowned Crescentchest,ムナオビオタテドリ,Olive-crowned Crescentchest,obrożnik oliwkowy,Olive-crowned crescentchest,Olive-Crowned Crescentchest,Оливковая серпогрудка,Chacomånbröst,Olive-crowned Crescentchest,Zeytin Tepeli Hilalgerdan,Оброзник південний,绿冠月胸窜鸟
Melanopareia torquata,Collared Crescentchest,Cordon-noir à col roux,Pecholuna Brasileño,Diadeemmaansluiper,cerradomånesmett,Collared Crescentchest,Collared Crescentchest,Rotnacken-Bandvogel,Collared Crescentchest,アカエリオタテドリ,Collared Crescentchest,obrożnik rdzawokarkowy,Tapaculo-de-colarinho,Meia-Lua-Do-Cerrado/De-Coleira-Dupla,Ожереловая серпогрудка,Halsbandsmånbröst,Collared Crescentchest,Kolyeli Hilalgerdan,Оброзник північний,领月胸窜鸟
Melanoptila glabrirostris,Black Catbird,Moqueur noir,Pájaro Gato Negro,Zwarte Katvogel,svartspottefugl,Black Catbird,Black Catbird,Glanzspottdrossel,Black Catbird,クロネコマネドリ,Black Catbird,przedrzeźniacz czarny,Black catbird,Black Catbird,Чёрный пересмешник,Svart kattfågel,Black Catbird,Kara Kedikuşu,Пересмішник чорний,黑嘲鸫
Melanorectes nigrescens,Black Pitohui,Siffleur noir,Pitohuí Negro,Zwarte Pitohui,svartpitohui,Black Pitohui,Black Pitohui,Schwarzdickkopf,Black Pitohui,クロモリモズ,Black Pitohui,fletownik czarny,Black pitohui,Black Pitohui,Чёрный свистун,Svartvisslare,Black Pitohui,Kara Pitohuyi,Ядлівчак чорний,黑林鵙鹟
Melanospiza bicolor,Black-faced Grassquit,Cici verdinère,Semillero Biocolor,Maskergrondvink,skifergresspurv,Black-faced Grassquit,Black-faced Grassquit,Jamaikagimpeltangare,Black-faced Grassquit,ニショクコメワリ,Black-faced Grassquit,kubanik ciemnolicy,Black-faced grassquit,Black-Faced Grassquit,Чернолицый семилеро,Sisitangara,Black-faced Grassquit,Kara Yüzlü Tohumcul,Потрост чорноволий,黑脸草雀
Melanotis caerulescens,Blue Mockingbird,Moqueur bleu,Mulato Azul,Blauwe Spotlijster,blåspottefugl,Blue Mockingbird,Blue Mockingbird,Blauspottdrossel,Blue Mockingbird,アオマネシツグミ,Blue Mockingbird,przedrzeźniacz błękitny,Blue mockingbird,Blue Mockingbird,Синий пересмешник,Blå härmtrast,Blue Mockingbird,Mavi Taklitçi,Пересмішник синій,蓝嘲鸫
Melanotis hypoleucus,Blue-and-white Mockingbird,Moqueur bleu et blanc,Mulato Pechiblanco,Blauw-witte Spotlijster,hvitbukspottefugl,Blue-and-white Mockingbird,Blue-and-white Mockingbird,Lasurspottdrossel,Blue-and-white Mockingbird,シロハラアオマネシツグミ,Blue-and-white Mockingbird,przedrzeźniacz białobrzuchy,Blue-and-white mockingbird,Blue-And-White Mockingbird,Сине-белый пересмешник,Blåvit härmtrast,Blue-and-white Mockingbird,Mavi-Beyaz Taklitçi,Пересмішник білочеревий,蓝白嘲鸫
